artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
samuel-peploe,Samuel Peploe,North Berwick Sands,1896,https://www.wikiart.org/en/samuel-peploe/north-berwick-sands-1896,north-berwick-sands-1896,https://uploads0.wikiart.org/images/samuel-peploe/north-berwick-sands-1896.jpg!Large.jpg,476,600
samuel-peploe,Samuel Peploe,Nude in Studio Interior,1896,https://www.wikiart.org/en/samuel-peploe/nude-in-studio-interior-1896,nude-in-studio-interior-1896,https://uploads4.wikiart.org/images/samuel-peploe/nude-in-studio-interior-1896.jpg!Large.jpg,385,600
samuel-peploe,Samuel Peploe,Flowers against a Dark Background,1899,https://www.wikiart.org/en/samuel-peploe/flowers-against-a-dark-background-1899,flowers-against-a-dark-background-1899,https://uploads5.wikiart.org/images/samuel-peploe/flowers-against-a-dark-background-1899.jpg!Large.jpg,507,600
samuel-peploe,Samuel Peploe,Gypsy,1899,https://www.wikiart.org/en/samuel-peploe/gypsy-1899,gypsy-1899,https://uploads4.wikiart.org/images/samuel-peploe/gypsy-1899.jpg!Large.jpg,594,600
samuel-peploe,Samuel Peploe,Old Tom Morris,1899,https://www.wikiart.org/en/samuel-peploe/old-tom-morris-1899,old-tom-morris-1899,https://uploads4.wikiart.org/images/samuel-peploe/old-tom-morris-1899.jpg!Large.jpg,480,600
samuel-peploe,Samuel Peploe,"Still Life, Painter's Materials",1899,https://www.wikiart.org/en/samuel-peploe/still-life-painter-s-materials-1899,still-life-painter-s-materials-1899,https://uploads2.wikiart.org/images/samuel-peploe/still-life-painter-s-materials-1899.jpg!Large.jpg,750,576
samuel-peploe,Samuel Peploe,"Comrie, Perthshire",1900,https://www.wikiart.org/en/samuel-peploe/comrie-perthshire-1900,comrie-perthshire-1900,https://uploads7.wikiart.org/images/samuel-peploe/comrie-perthshire-1900.jpg!Large.jpg,750,432
samuel-peploe,Samuel Peploe,"The Cart, Comrie, Perthshire",1900,https://www.wikiart.org/en/samuel-peploe/the-cart-comrie-perthshire-1900,the-cart-comrie-perthshire-1900,https://uploads7.wikiart.org/images/samuel-peploe/the-cart-comrie-perthshire-1900.jpg!Large.jpg,750,436
samuel-peploe,Samuel Peploe,"Jeffrey's Brewery, Edinburgh",1900,https://www.wikiart.org/en/samuel-peploe/jeffrey-s-brewery-edinburgh-1900,jeffrey-s-brewery-edinburgh-1900,https://uploads8.wikiart.org/images/samuel-peploe/jeffrey-s-brewery-edinburgh-1900.jpg!Large.jpg,750,522
samuel-peploe,Samuel Peploe,Self Portrait,1900,https://www.wikiart.org/en/samuel-peploe/self-portrait-1900,self-portrait-1900,https://uploads3.wikiart.org/images/samuel-peploe/self-portrait-1900.jpg!Large.jpg,346,600
samuel-peploe,Samuel Peploe,Self-Portrait,1900,https://www.wikiart.org/en/samuel-peploe/self-portrait-1900-1,self-portrait-1900-1,https://uploads5.wikiart.org/images/samuel-peploe/self-portrait-1900-1.jpg!Large.jpg,475,600
samuel-peploe,Samuel Peploe,"A Street, Comrie",1900,https://www.wikiart.org/en/samuel-peploe/a-street-comrie-1900,a-street-comrie-1900,https://uploads5.wikiart.org/images/samuel-peploe/a-street-comrie-1900.jpg!Large.jpg,715,600
samuel-peploe,Samuel Peploe,Farmyard,1901,https://www.wikiart.org/en/samuel-peploe/farmyard-1901,farmyard-1901,https://uploads7.wikiart.org/images/samuel-peploe/farmyard-1901.jpg!Large.jpg,750,500
samuel-peploe,Samuel Peploe,Barra,1902,https://www.wikiart.org/en/samuel-peploe/barra-1902,barra-1902,https://uploads4.wikiart.org/images/samuel-peploe/barra-1902.jpg!Large.jpg,750,591
samuel-peploe,Samuel Peploe,Cottage at Corstorphine,1902,https://www.wikiart.org/en/samuel-peploe/cottage-at-corstorphine-1902,cottage-at-corstorphine-1902,https://uploads4.wikiart.org/images/samuel-peploe/cottage-at-corstorphine-1902.jpg!Large.jpg,750,487
samuel-peploe,Samuel Peploe,Man Laughing (Tom Morris),1902,https://www.wikiart.org/en/samuel-peploe/man-laughing-tom-morris-1902,man-laughing-tom-morris-1902,https://uploads4.wikiart.org/images/samuel-peploe/man-laughing-tom-morris-1902.jpg!Large.jpg,429,600
samuel-peploe,Samuel Peploe,"Spring, Comrie",1902,https://www.wikiart.org/en/samuel-peploe/spring-comrie-1902,spring-comrie-1902,https://uploads3.wikiart.org/images/samuel-peploe/spring-comrie-1902.jpg!Large.jpg,738,600
samuel-peploe,Samuel Peploe,"Street in Comrie, Perthshire",1902,https://www.wikiart.org/en/samuel-peploe/street-in-comrie-perthshire-1902,street-in-comrie-perthshire-1902,https://uploads8.wikiart.org/images/samuel-peploe/street-in-comrie-perthshire-1902.jpg!Large.jpg,748,600
samuel-peploe,Samuel Peploe,Barra,1903,https://www.wikiart.org/en/samuel-peploe/barra-1903,barra-1903,https://uploads4.wikiart.org/images/samuel-peploe/barra-1903.jpg!Large.jpg,750,489
samuel-peploe,Samuel Peploe,Barra,1903,https://www.wikiart.org/en/samuel-peploe/barra-1903-1,barra-1903-1,https://uploads6.wikiart.org/images/samuel-peploe/barra-1903-1.jpg!Large.jpg,750,529
samuel-peploe,Samuel Peploe,Berwick,1903,https://www.wikiart.org/en/samuel-peploe/berwick-1903,berwick-1903,https://uploads6.wikiart.org/images/samuel-peploe/berwick-1903.jpg!Large.jpg,750,500
samuel-peploe,Samuel Peploe,Boy Reading (The Artist's Son),1903,https://www.wikiart.org/en/samuel-peploe/boy-reading-the-artist-s-son-1903,boy-reading-the-artist-s-son-1903,https://uploads0.wikiart.org/images/samuel-peploe/boy-reading-the-artist-s-son-1903.jpg!Large.jpg,474,600
samuel-peploe,Samuel Peploe,"Evening, North Berwick",1903,https://www.wikiart.org/en/samuel-peploe/evening-north-berwick-1903,evening-north-berwick-1903,https://uploads2.wikiart.org/images/samuel-peploe/evening-north-berwick-1903.jpg!Large.jpg,750,504
